User_Message,Response,Intent,,,
do you offer financial aid,TARUMT offers scholarships,TARUMT_scholarship_availability, and financial assistance for eligible students.,financial_aid,
is there any financial support available,Yes,TARUMT_financial_aid_overview,financial_aid,,
can i get financial help,Yes,PTPTN_loan_eligibility,financial_aid,,
how can i pay my fees,TARUMT offers installment plans,PTPTN_application_info, and scholarships to help students pay fees.,financial_aid,
do you have scholarships,TARUMT provides scholarships based on academic performance and financial need.,TARUMT_installment_plans,,,
what scholarships are available,There are merit-based and need-based scholarships available at TARUMT.,TARUMT_scholarship_criteria,,,
how to apply for scholarship,You can apply for scholarships through the TARUMT student portal or admissions office.,TARUMT_merit_need_scholarships,,,
am i eligible for scholarship,Scholarship eligibility depends on academic results and financial background.,TARUMT_scholarship_application_process,,,
what are scholarship requirements,Scholarships usually require good academic results and sometimes financial need.,TARUMT_scholarship_eligibility,,,
do you provide loans,Yes,TARUMT_scholarship_requirements,financial_aid,,
how to apply for loan,You can apply for a PTPTN loan through their official website.,PTPTN_loan_applicability,,,
what is ptptn,PTPTN is a Malaysian government education loan to help students cover tuition fees.,PTPTN_loan_info,,,
can international students get financial aid,Financial aid options for international students are limited but some scholarships may be available.,PTPTN_loan_application_link,,,
is zakat available,TARUMT provides zakat assistance for eligible Muslim students.,PTPTN_loan_description,,,
how to apply for zakat,Zakat applications can be submitted through the university’s financial aid office.,International_student_aid,,,
can i pay in installments,Yes,TARUMT_zakat_support,financial_aid,,
what payment options are available,Students can pay via cash,TARUMT_zakat_application_process, PTPTN, or installment plans.,financial_aid
is there any discount for students,Some scholarships and financial aid schemes can reduce tuition fees.,Installment_payment_available,,,
can i get fee reduction,Fee reductions may be available through scholarships or financial assistance programs.,TARUMT_payment_options,,,
who can i contact for financial aid,You can contact the TARUMT finance or student support office for assistance.,TARUMT_payment_methods_cash,,,
where is the financial aid office,The financial aid office is located at the campus student services center.,TARUMT_fee_reduction_schemes,,,
when should i apply for financial aid,It is recommended to apply before the semester starts.,TARUMT_fee_reduction_options,,,
can i apply for multiple scholarships,Yes,TARUMT_finance_contact,financial_aid,,
what happens if i cannot pay fees,You should contact the finance office to discuss payment options or assistance.,TARUMT_financial_aid_location,,,
is financial aid guaranteed,Financial aid is not guaranteed and depends on eligibility and availability.,TARUMT_application_timing,,,
